FIPS,state,county,x1Days,x1CIL,x1CIH,x1Z,x2Days,x2CIL,x2CIH,x2Z,x3Num,x3Per,x3CIL,x3CIH,x3Z,x4Num,x4Tot,x4Per,x4Z,x5Per,x5CIL,x5CIH,x5Z
1001,Alabama,Autauga,4.2,4,4.4,-1.15,4.3,4.1,4.5,-1.33,4002,9,7,10,-1.9,1001,25909,3.9,-0.85,15,12,18,0.11
1003,Alabama,Baldwin,4.1,3.9,4.3,-1.37,4.2,4.1,4.4,-1.52,17733,11,10,12,-0.5,3652,91567,4,-0.76,14,13,15,-0.21
1005,Alabama,Barbour,5.1,4.9,5.2,0.78,4.6,4.5,4.8,-0.24,2252,13,11,14,0.67,486,8236,5.9,0.62,15,13,18,0.26
1007,Alabama,Bibb,4.4,4.2,4.6,-0.78,4.3,4.1,4.5,-1.3,1646,10,8,11,-1.15,373,8506,4.4,-0.47,11,7,15,-1.04
1009,Alabama,Blount,4.5,4.3,4.7,-0.45,4.7,4.5,4.9,-0.02,5704,12,11,14,0.41,985,24494,4,-0.73,10,9,12,-1.2
1011,Alabama,Bullock,5.2,5,5.4,1.14,4.8,4.6,5,0.29,937,13,11,15,1.11,237,4812,4.9,-0.08,21,15,27,1.78
1013,Alabama,Butler,5.1,4.9,5.3,0.89,5.1,4.9,5.3,1.43,1703,11,9,12,-0.52,491,8946,5.5,0.32,14,11,17,-0.23
1015,Alabama,Calhoun,4.3,4.1,4.4,-0.95,4.5,4.3,4.6,-0.77,10386,11,10,13,-0.18,2249,45582,4.9,-0.08,15,13,16,-0.01
1017,Alabama,Chambers,5,4.9,5.2,0.71,4.9,4.8,5.1,0.76,2876,11,9,12,-0.52,619,15176,4.1,-0.69,16,14,19,0.43
1019,Alabama,Cherokee,4.3,4,4.5,-0.97,4.7,4.4,4.9,-0.08,2366,12,10,14,0.27,453,11174,4.1,-0.71,15,12,19,0.26
1021,Alabama,Chilton,4.7,4.5,4.9,0.04,4.6,4.4,4.8,-0.27,5181,14,12,16,1.75,774,19118,4,-0.72,13,10,16,-0.43
1023,Alabama,Choctaw,4.7,4.6,4.9,0.05,4.8,4.6,4.9,0.17,1136,11,10,13,-0.12,277,4336,6.4,0.97,13,10,17,-0.35
1025,Alabama,Clarke,5,4.9,5.2,0.71,4.8,4.6,5,0.33,2219,11,10,13,-0.06,655,7720,8.5,2.48,13,10,15,-0.54
1027,Alabama,Clay,4.5,4.3,4.7,-0.54,4.6,4.4,4.8,-0.4,1416,13,11,15,1.26,250,5721,4.4,-0.48,14,10,18,-0.08
